hash,blockchain,transaction_type,amount,wallet_address,date,fee_crypto,fee_crypto_symbol,fee_usd,usd_ils_rate,fee_ils_standard,fee_ils_markup_6pct,crypto_amount_sent,error
0x4f66d6b09cf85a8ff1eec2a614407694a7119282b31088ea68897bef1e712435,USDT-ERC20,send,516.28624,0x5c48ab497986ea8701baaaee0112c5a7ca790b6e,2024-11-27,0.00062323,ETH,1.56,3.654,5.69,6.03,516.28624,
0x8ecaed709852bda488f028f8786857f75bf20682446512db8de9a7c6e313c378,ETH,send,0.3743,0x1053e0dd7f5d781aedb3c485d8fb0f2757e5b67c,2024-11-27,0.00024836,ETH,0.62,3.654,2.27,2.4,0.3743,
0xf2615b485fee1b33e3c3af75a519a1ca9d3c6ae81894326c24671e1d08b5f396,USDT-ERC20,send,1292.4973,0x7527c8bf3ebc6a242a50f0ea220b3c637170f739,2024-11-26,0.00095582,ETH,2.39,3.643,8.71,9.23,1292.4973,
ede315938cb72b0f0d4f302db1fe74310f03a66559a6c23808da1920f7b15d7b,BTC,send,0.016199,bc1qz923qm9kq6eztjf4ck8sls82ktq60vyhxan5ld,2024-11-24,1.777e-05,BTC,0.8,3.728,2.98,3.16,0.016199,
fb9cb806a0662addc9c12bc867c70618c425f7bac3eefdfab86840e95d33350b,,,,,,,,,,,,,Error fetching BTC transaction: 404 Client Error: Not Found for url: https://blockchain.info/rawtx/fb9cb806a0662addc9c12bc867c70618c425f7bac3eefdfab86840e95d33350b
0xe32f91382756047d953d22792c08f6606ae2f4f465246f1e4d1055556966b20b,USDT-ERC20,send,1262.7251,0x7677670f655ec0dc2205cb7d22ccc6633ac26766,2024-11-20,0.00086283,ETH,2.16,3.739,8.07,8.55,1262.7251,
0xa8a36209d39fc44bf7e7cc78c3f4472f9ff46a609a93e52fdb25908baa63c570,USDT-ERC20,send,12.627474,0xfe3def4b78922c7b9c92819299fffcd159170c39,2024-11-20,0.00085948,ETH,2.15,3.739,8.03,8.52,12.627474,
0x16ae5addaec0a8d0498aa89206ae81a2b7a943759774d98e9a6597b6bc5585bb,USDT-ERC20,send,252.53928,0xfe3def4b78922c7b9c92819299fffcd159170c39,2024-11-20,0.00085627,ETH,2.14,3.739,8.0,8.48,252.53928,
0x8844cb9a382065b1c4931e89c95b3a58b9a8b5013cc2b9af01421c4cd8fdfb8f,USDT-ERC20,send,176.450419,0x6fe096932664c4e4929f520778592bee6c7c4f34,2024-11-20,0.00060214,ETH,1.51,3.739,5.63,5.97,176.450419,
0x82217353b5a715a02fe9b1ba22ebd89b5a5e144efc9fc9342f07f732ba9c0db9,USDT-ERC20,send,251.783885,0x048208b9fb2656a6f20f22f77cf26168ada25bfd,2024-11-20,0.0006496,ETH,1.62,3.739,6.07,6.44,251.783885,
